head;relation;tail;head_rank;tail_rank
/m/01qscs;/award/award_nominee/award_nominations./award/award_nomination/award;/m/02x8n1n;1.0;1.0
/m/040db;/base/activism/activist/area_of_activism;/m/0148d;56.0;1.0
/m/08966;/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month;/m/05lf_;1.0;1.0
/m/01hww_;/music/performance_role/regular_performances./music/group_membership/group;/m/01q99h;1.0;1.0
/m/0c1pj;/award/award_nominee/award_nominations./award/award_nomination/award;/m/019f4v;1.0;1.0
/m/0ddd9;/award/award_category/nominees./award/award_nomination/award_nominee;/m/07dnx;1.0;2.0
/m/09v3jyg;/film/film/release_date_s./film/film_regional_release_date/film_release_region;/m/0f8l9c;5.0;2.0
/m/02jx1;/location/location/contains;/m/013t85;1.0;4.0
/m/02jx1;/location/location/contains;/m/0m0bj;1.0;4.0
/m/02bfmn;/film/actor/film./film/performance/film;/m/04ghz4m;1.0;1.0
/m/05zrvfd;/award/award_category/nominees./award/award_nomination/nominated_for;/m/04y9mm8;66.0;620.0
/m/04mrgz;/soccer/football_team/current_roster./soccer/football_roster_position/position;/m/0dgrmp;1.0;1.0
/m/060bp;/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office;/m/04j53;1.0;1.0
/m/060bp;/government/government_office_category/officeholders./government/government_position_held/appointed_by;/m/0cmpn;1.0;1.0
/m/07l450;/film/film/genre;/m/082gq;1.0;1.0
/m/07h1h5;/sports/pro_athlete/teams./sports/sports_team_roster/team;/m/029q3k;1.0;1.0
/m/06yxd;/base/biblioness/bibs_location/country;/m/09c7w0;1.0;1.0
/m/012q4n;/award/award_nominee/award_nominations./award/award_nomination/award_nominee;/m/04g4n;1.0;1.0
/m/0djb3vw;/film/film/release_date_s./film/film_regional_release_date/film_release_region;/m/0jgd;4.0;2.0
/m/0dg3n1;/base/locations/continents/countries_within;/m/01699;1.0;1.0
